type	name	value	zone	address	bytes	access	other
Factory	TIM3_CCMR2_Output	0x0	Memory	0x4000041c	4	readWrite	strong	
Factory	TIM3_CCMR2_Input	0x0	Memory	0x4000041c	4	readWrite	strong	
Factory	TIM3_CCER	0x0	Memory	0x40000420	4	readWrite	strong	
Factory	TIM3_CNT	0x0	Memory	0x40000424	4	readWrite	strong	
Factory	TIM3_PSC	0xbb7f	Memory	0x40000428	4	readWrite	strong	
Factory	TIM3_ARR	0x0	Memory	0x4000042c	4	readWrite	strong	
Factory	TIM3_CCR1	0x0	Memory	0x40000434	4	readWrite	strong	
Factory	TIM3_CCR2	0x0	Memory	0x40000438	4	readWrite	strong	
Factory	TIM3_CCR3	0x0	Memory	0x4000043c	4	readWrite	strong	
Factory	TIM3_CCR4	0x0	Memory	0x40000440	4	readWrite	strong	
Factory	TIM3_DCR	0x0	Memory	0x40000448	4	readWrite	strong	
Factory	TIM3_DMAR	0x1	Memory	0x4000044c	4	readWrite	strong	
Factory	TIM14_CR1	0x0	Memory	0x40002000	4	readWrite	strong	
Factory	TIM14_DIER	0x0	Memory	0x4000200c	4	readWrite	strong	
Factory	TIM14_SR	0x0	Memory	0x40002010	4	readWrite	strong	
Factory	TIM14_EGR	0x0	Memory	0x40002014	4	writeOnly	strong	
Factory	TIM14_CCMR1_Output	0x0	Memory	0x40002018	4	readWrite	strong	
Factory	TIM14_CCMR1_Input	0x0	Memory	0x40002018	4	readWrite	strong	
Factory	TIM14_CCER	0x0	Memory	0x40002020	4	readWrite	strong	
Factory	TIM14_CNT	0x0	Memory	0x40002024	4	readWrite	strong	
Factory	TIM14_PSC	0x0	Memory	0x40002028	4	readWrite	strong	
Factory	TIM14_ARR	0x0	Memory	0x4000202c	4	readWrite	strong	
Factory	TIM14_CCR1	0x0	Memory	0x40002034	4	readWrite	strong	
Factory	TIM14_OR	0x0	Memory	0x40002050	4	readWrite	strong	
Factory	TIM6_CR1	0x0	Memory	0x40001000	4	readWrite	strong	
Factory	TIM6_CR2	0x0	Memory	0x40001004	4	readWrite	strong	
Factory	TIM6_DIER	0x0	Memory	0x4000100c	4	readWrite	strong	
Factory	TIM6_SR	0x0	Memory	0x40001010	4	readWrite	strong	
Factory	TIM6_EGR	0x0	Memory	0x40001014	4	writeOnly	strong	
Factory	TIM6_CNT	0x0	Memory	0x40001024	4	readWrite	strong	
Factory	TIM6_PSC	0x0	Memory	0x40001028	4	readWrite	strong	
Factory	TIM6_ARR	0x0	Memory	0x4000102c	4	readWrite	strong	
Factory	TIM7_CR1	0x0	Memory	0x40001400	4	readWrite	strong	
Factory	TIM7_CR2	0x0	Memory	0x40001404	4	readWrite	strong	
Factory	TIM7_DIER	0x0	Memory	0x4000140c	4	readWrite	strong	
Factory	TIM7_SR	0x0	Memory	0x40001410	4	readWrite	strong	
Factory	TIM7_EGR	0x0	Memory	0x40001414	4	writeOnly	strong	
Factory	TIM7_CNT	0x0	Memory	0x40001424	4	readWrite	strong	
Factory	TIM7_PSC	0x0	Memory	0x40001428	4	readWrite	strong	
Factory	TIM7_ARR	0x0	Memory	0x4000142c	4	readWrite	strong	
Factory	EXTI_IMR	0xff40200	Memory	0x40010400	4	readWrite	strong	
Factory	EXTI_EMR	0x0	Memory	0x40010404	4	readWrite	strong	
Factory	EXTI_RTSR	0x0	Memory	0x40010408	4	readWrite	strong	
Factory	EXTI_FTSR	0x200	Memory	0x4001040c	4	readWrite	strong	
Factory	EXTI_SWIER	0x0	Memory	0x40010410	4	readWrite	strong	
Factory	EXTI_PR	0x0	Memory	0x40010414	4	readWrite	strong	
Factory	NVIC_ISER	0x10080	Memory	0xe000e100	4	readWrite	strong	
Factory	NVIC_ICER	0x10080	Memory	0xe000e180	4	readWrite	strong	
Factory	NVIC_ISPR	0x0	Memory	0xe000e200	4	readWrite	strong	
Factory	NVIC_ICPR	0x0	Memory	0xe000e280	4	readWrite	strong	
Factory	NVIC_IPR0	0x0	Memory	0xe000e400	4	readWrite	strong	
Factory	NVIC_IPR1	0x0	Memory	0xe000e404	4	readWrite	strong	
Factory	NVIC_IPR2	0x0	Memory	0xe000e408	4	readWrite	strong	
Factory	NVIC_IPR3	0x0	Memory	0xe000e40c	4	readWrite	strong	
Factory	NVIC_IPR4	0x0	Memory	0xe000e410	4	readWrite	strong	
Factory	NVIC_IPR5	0x0	Memory	0xe000e414	4	readWrite	strong	
Factory	NVIC_IPR6	0x0	Memory	0xe000e418	4	readWrite	strong	
Factory	NVIC_IPR7	0x0	Memory	0xe000e41c	4	readWrite	strong	
Factory	DMA1_ISR	0x0	Memory	0x40020000	4	readOnly	strong	
Factory	DMA1_IFCR	0x0	Memory	0x40020004	4	writeOnly	strong	
Factory	DMA1_CCR1	0x0	Memory	0x40020008	4	readWrite	strong	
Factory	DMA1_CNDTR1	0x0	Memory	0x4002000c	4	readWrite	strong	
Factory	DMA1_CPAR1	0x0	Memory	0x40020010	4	readWrite	strong	
Factory	DMA1_CMAR1	0x0	Memory	0x40020014	4	readWrite	strong	
Factory	DMA1_CCR2	0x0	Memory	0x4002001c	4	readWrite	strong	
Factory	DMA1_CNDTR2	0x0	Memory	0x40020020	4	readWrite	strong	
Factory	DMA1_CPAR2	0x0	Memory	0x40020024	4	readWrite	strong	
Factory	DMA1_CMAR2	0x0	Memory	0x40020028	4	readWrite	strong	
Factory	DMA1_CCR3	0x0	Memory	0x40020030	4	readWrite	strong	
Factory	DMA1_CNDTR3	0x0	Memory	0x40020034	4	readWrite	strong	
Factory	DMA1_CPAR3	0x0	Memory	0x40020038	4	readWrite	strong	
Factory	DMA1_CMAR3	0x0	Memory	0x4002003c	4	readWrite	strong	
Factory	DMA1_CCR4	0x0	Memory	0x40020044	4	readWrite	strong	
Factory	DMA1_CNDTR4	0x0	Memory	0x40020048	4	readWrite	strong	
Factory	DMA1_CPAR4	0x0	Memory	0x4002004c	4	readWrite	strong	
Factory	DMA1_CMAR4	0x0	Memory	0x40020050	4	readWrite	strong	
Factory	DMA1_CCR5	0x0	Memory	0x40020058	4	readWrite	strong	
Factory	DMA1_CNDTR5	0x0	Memory	0x4002005c	4	readWrite	strong	
Factory	DMA1_CPAR5	0x0	Memory	0x40020060	4	readWrite	strong	
Factory	DMA1_CMAR5	0x0	Memory	0x40020064	4	readWrite	strong	
Factory	DMA1_CCR6	0x0	Memory	0x4002006c	4	readWrite	strong	
Factory	DMA1_CNDTR6	0x0	Memory	0x40020070	4	readWrite	strong	
Factory	DMA1_CPAR6	0x0	Memory	0x40020074	4	readWrite	strong	
Factory	DMA1_CMAR6	0x0	Memory	0x40020078	4	readWrite	strong	
Factory	DMA1_CCR7	0x0	Memory	0x40020080	4	readWrite	strong	
Factory	DMA1_CNDTR7	0x0	Memory	0x40020084	4	readWrite	strong	
Factory	DMA1_CPAR7	0x0	Memory	0x40020088	4	readWrite	strong	
Factory	DMA1_CMAR7	0x0	Memory	0x4002008c	4	readWrite	strong	
Factory	RCC_CR	0x3035283	Memory	0x40021000	4	readWrite	strong	
Factory	RCC_CFGR	0x2b000a	Memory	0x40021004	4	readWrite	strong	
Factory	RCC_CIR	0x0	Memory	0x40021008	4	readWrite	strong	
Factory	RCC_APB2RSTR	0x0	Memory	0x4002100c	4	readWrite	strong	
Factory	RCC_APB1RSTR	0x0	Memory	0x40021010	4	readWrite	strong	
Factory	RCC_AHBENR	0x460014	Memory	0x40021014	4	readWrite	strong	
Factory	RCC_APB2ENR	0x1	Memory	0x40021018	4	readWrite	strong	
Factory	RCC_APB1ENR	0x2	Memory	0x4002101c	4	readWrite	strong	
Factory	RCC_BDCR	0x18	Memory	0x40021020	4	readWrite	strong	
Factory	RCC_CSR	0x1c800000	Memory	0x40021024	4	readWrite	strong	
Factory	RCC_AHBRSTR	0x0	Memory	0x40021028	4	readWrite	strong	
Factory	RCC_CFGR2	0x1	Memory	0x4002102c	4	readWrite	strong	
Factory	RCC_CFGR3	0x0	Memory	0x40021030	4	readWrite	strong	
Factory	RCC_CR2	0x7080	Memory	0x40021034	4	readWrite	strong	
Factory	SYSCFG_CFGR1	0x0	Memory	0x40010000	4	readWrite	strong	
Factory	SYSCFG_EXTICR1	0x0	Memory	0x40010008	4	readWrite	strong	
Factory	SYSCFG_EXTICR2	0x0	Memory	0x4001000c	4	readWrite	strong	
Factory	SYSCFG_EXTICR3	0x0	Memory	0x40010010	4	readWrite	strong	
Factory	SYSCFG_EXTICR4	0x0	Memory	0x40010014	4	readWrite	strong	
Factory	SYSCFG_CFGR2	0x0	Memory	0x40010018	4	readWrite	strong	
Factory	ADC_ISR	0x0	Memory	0x40012400	4	readWrite	strong	
Factory	ADC_IER	0x0	Memory	0x40012404	4	readWrite	strong	
Factory	ADC_CR	0x0	Memory	0x40012408	4	readWrite	strong	
Factory	ADC_CFGR1	0x0	Memory	0x4001240c	4	readWrite	strong	
Factory	ADC_CFGR2	0x0	Memory	0x40012410	4	readWrite	strong	
Factory	ADC_SMPR	0x0	Memory	0x40012414	4	readWrite	strong	
Factory	ADC_TR	0x0	Memory	0x40012420	4	readWrite	strong	
Factory	ADC_CHSELR	0x0	Memory	0x40012428	4	readWrite	strong	
Factory	ADC_DR	0x0	Memory	0x40012440	4	readOnly	strong	
Factory	ADC_CCR	0x0	Memory	0x40012708	4	readWrite	strong	
Factory	USART1_CR1	0x0	Memory	0x40013800	4	readWrite	strong	
Factory	USART1_CR2	0x0	Memory	0x40013804	4	readWrite	strong	
Factory	USART1_CR3	0x0	Memory	0x40013808	4	readWrite	strong	
Factory	USART1_BRR	0x0	Memory	0x4001380c	4	readWrite	strong	
Factory	USART1_GTPR	0x0	Memory	0x40013810	4	readWrite	strong	
Factory	USART1_RTOR	0x0	Memory	0x40013814	4	readWrite	strong	
Factory	USART1_RQR	0x0	Memory	0x40013818	4	readWrite	strong	
Factory	USART1_ISR	0xc0	Memory	0x4001381c	4	readOnly	strong	
Factory	USART1_ICR	0x0	Memory	0x40013820	4	readWrite	strong	
Factory	USART1_RDR	0x0	Memory	0x40013824	4	readOnly	strong	
Factory	USART1_TDR	0x0	Memory	0x40013828	4	readWrite	strong	
Factory	USART2_CR1	0x0	Memory	0x40004400	4	readWrite	strong	
Factory	USART2_CR2	0x0	Memory	0x40004404	4	readWrite	strong	
Factory	USART2_CR3	0x0	Memory	0x40004408	4	readWrite	strong	
Factory	USART2_BRR	0x0	Memory	0x4000440c	4	readWrite	strong	
Factory	USART2_GTPR	0x0	Memory	0x40004410	4	readWrite	strong	
Factory	USART2_RTOR	0x0	Memory	0x40004414	4	readWrite	strong	
Factory	USART2_RQR	0x0	Memory	0x40004418	4	readWrite	strong	
Factory	USART2_ISR	0x0	Memory	0x4000441c	4	readOnly	strong	
Factory	USART2_ICR	0x0	Memory	0x40004420	4	readWrite	strong	
Factory	USART2_RDR	0x0	Memory	0x40004424	4	readOnly	strong	
Factory	USART2_TDR	0x0	Memory	0x40004428	4	readWrite	strong	
Factory	USART3_CR1	0x0	Memory	0x40004800	4	readWrite	strong	
Factory	USART3_CR2	0x0	Memory	0x40004804	4	readWrite	strong	
Factory	USART3_CR3	0x0	Memory	0x40004808	4	readWrite	strong	
Factory	USART3_BRR	0x0	Memory	0x4000480c	4	readWrite	strong	
Factory	USART3_GTPR	0x0	Memory	0x40004810	4	readWrite	strong	
Factory	USART3_RTOR	0x0	Memory	0x40004814	4	readWrite	strong	
Factory	USART3_RQR	0x0	Memory	0x40004818	4	readWrite	strong	
Factory	USART3_ISR	0x0	Memory	0x4000481c	4	readOnly	strong	
Factory	USART3_ICR	0x0	Memory	0x40004820	4	readWrite	strong	
Factory	USART3_RDR	0x0	Memory	0x40004824	4	readOnly	strong	
Factory	USART3_TDR	0x0	Memory	0x40004828	4	readWrite	strong	
Factory	USART4_CR1	0x0	Memory	0x40004c00	4	readWrite	strong	
Factory	USART4_CR2	0x0	Memory	0x40004c04	4	readWrite	strong	
Factory	USART4_CR3	0x0	Memory	0x40004c08	4	readWrite	strong	
Factory	USART4_BRR	0x0	Memory	0x40004c0c	4	readWrite	strong	
Factory	USART4_GTPR	0x0	Memory	0x40004c10	4	readWrite	strong	
Factory	USART4_RTOR	0x0	Memory	0x40004c14	4	readWrite	strong	
Factory	USART4_RQR	0x0	Memory	0x40004c18	4	readWrite	strong	
Factory	USART4_ISR	0x0	Memory	0x40004c1c	4	readOnly	strong	
Factory	USART4_ICR	0x0	Memory	0x40004c20	4	readWrite	strong	
Factory	USART4_RDR	0x0	Memory	0x40004c24	4	readOnly	strong	
Factory	USART4_TDR	0x0	Memory	0x40004c28	4	readWrite	strong	
Factory	USART6_CR1	0x0	Memory	0x40011400	4	readWrite	strong	
Factory	USART6_CR2	0x0	Memory	0x40011404	4	readWrite	strong	
Factory	USART6_CR3	0x0	Memory	0x40011408	4	readWrite	strong	
Factory	USART6_BRR	0x0	Memory	0x4001140c	4	readWrite	strong	
Factory	USART6_GTPR	0x0	Memory	0x40011410	4	readWrite	strong	
Factory	USART6_RTOR	0x0	Memory	0x40011414	4	readWrite	strong	
Factory	USART6_RQR	0x0	Memory	0x40011418	4	readWrite	strong	
Factory	USART6_ISR	0x0	Memory	0x4001141c	4	readOnly	strong	
Factory	USART6_ICR	0x0	Memory	0x40011420	4	readWrite	strong	
Factory	USART6_RDR	0x0	Memory	0x40011424	4	readOnly	strong	
Factory	USART6_TDR	0x0	Memory	0x40011428	4	readWrite	strong	
Factory	USART5_CR1	0x0	Memory	0x40005000	4	readWrite	strong	
Factory	USART5_CR2	0x0	Memory	0x40005004	4	readWrite	strong	
Factory	USART5_CR3	0x0	Memory	0x40005008	4	readWrite	strong	
Factory	USART5_BRR	0x0	Memory	0x4000500c	4	readWrite	strong	
Factory	USART5_GTPR	0x0	Memory	0x40005010	4	readWrite	strong	
Factory	USART5_RTOR	0x0	Memory	0x40005014	4	readWrite	strong	
Factory	USART5_RQR	0x0	Memory	0x40005018	4	readWrite	strong	
Factory	USART5_ISR	0x0	Memory	0x4000501c	4	readOnly	strong	
Factory	USART5_ICR	0x0	Memory	0x40005020	4	readWrite	strong	
Factory	USART5_RDR	0x0	Memory	0x40005024	4	readOnly	strong	
Factory	USART5_TDR	0x0	Memory	0x40005028	4	readWrite	strong	
Factory	RTC_TR	0x0	Memory	0x40002800	4	readWrite	strong	
Factory	RTC_DR	0x2101	Memory	0x40002804	4	readWrite	strong	
Factory	RTC_CR	0x0	Memory	0x40002808	4	readWrite	strong	
Factory	RTC_ISR	0x7	Memory	0x4000280c	4	readWrite	strong	
Factory	RTC_PRER	0x7f00ff	Memory	0x40002810	4	readWrite	strong	
Factory	RTC_ALRMAR	0x0	Memory	0x4000281c	4	readWrite	strong	
